epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1119.48,0.70329,0.42218,1.13716,0.96467,0.93381,0.97614,0.7924,0.72259,0.41786,1.11509,7.79924e-05,7.79924e-05,7.79924e-05
42,1146.23,0.68863,0.41629,1.13563,0.96464,0.9295,0.97409,0.79356,0.71789,0.41616,1.11696,7.36495e-05,7.36495e-05,7.36495e-05
43,1173.06,0.69244,0.4199,1.13738,0.97059,0.92593,0.97485,0.79778,0.70797,0.41199,1.11337,6.93601e-05,6.93601e-05,6.93601e-05
44,1199.81,0.68205,0.41091,1.13329,0.96265,0.9363,0.97513,0.8033,0.6828,0.40295,1.11249,6.51328e-05,6.51328e-05,6.51328e-05
45,1226.57,0.67305,0.4067,1.12983,0.96895,0.93174,0.97572,0.80145,0.69973,0.40425,1.11239,6.09761e-05,6.09761e-05,6.09761e-05
46,1253.11,0.6605,0.40198,1.12453,0.96865,0.93417,0.97587,0.80096,0.68603,0.40283,1.1111,5.68984e-05,5.68984e-05,5.68984e-05
47,1279.51,0.66056,0.39925,1.13031,0.96863,0.9331,0.97651,0.80763,0.6765,0.39654,1.10826,5.29079e-05,5.29079e-05,5.29079e-05
48,1306.03,0.65034,0.39726,1.12435,0.97097,0.93843,0.97642,0.81019,0.66732,0.39521,1.10526,4.90127e-05,4.90127e-05,4.90127e-05
49,1332.51,0.64557,0.39394,1.12288,0.97043,0.93777,0.97626,0.81188,0.66296,0.38911,1.10317,4.52205e-05,4.52205e-05,4.52205e-05
50,1358.93,0.63721,0.38978,1.12103,0.96747,0.94132,0.97902,0.81932,0.65746,0.38516,1.10191,4.1539e-05,4.1539e-05,4.1539e-05
51,1385.53,0.63795,0.3894,1.12579,0.96855,0.93993,0.97767,0.82087,0.64045,0.38481,1.10007,3.79757e-05,3.79757e-05,3.79757e-05
52,1411.98,0.62937,0.3856,1.11718,0.97288,0.9421,0.97908,0.82064,0.64958,0.38386,1.10071,3.45377e-05,3.45377e-05,3.45377e-05
53,1438.29,0.63471,0.38931,1.1199,0.97722,0.93993,0.97904,0.81974,0.64544,0.38255,1.10103,3.12319e-05,3.12319e-05,3.12319e-05
54,1464.54,0.61873,0.38163,1.1158,0.97676,0.94029,0.97791,0.82363,0.63793,0.37779,1.09801,2.80651e-05,2.80651e-05,2.80651e-05
55,1490.97,0.61455,0.3946,1.11503,0.97569,0.93993,0.9785,0.82512,0.63654,0.37532,1.09791,2.50435e-05,2.50435e-05,2.50435e-05
56,1517.33,0.60297,0.37675,1.11312,0.97802,0.94424,0.97949,0.82966,0.62457,0.37173,1.0947,2.21732e-05,2.21732e-05,2.21732e-05
57,1543.9,0.60672,0.3816,1.11648,0.97479,0.94173,0.97961,0.83019,0.62194,0.37084,1.09545,1.94601e-05,1.94601e-05,1.94601e-05
58,1570.6,0.5964,0.37347,1.11379,0.97798,0.94065,0.98065,0.83011,0.62436,0.37116,1.09541,1.69096e-05,1.69096e-05,1.69096e-05
59,1597.31,0.59905,0.37375,1.11184,0.97773,0.94353,0.9809,0.83038,0.62734,0.3724,1.09619,1.45268e-05,1.45268e-05,1.45268e-05
60,1624.23,0.59973,0.37182,1.10969,0.97553,0.94388,0.97975,0.83343,0.61934,0.36835,1.09471,1.23166e-05,1.23166e-05,1.23166e-05
61,1652.04,0.58468,0.36707,1.11074,0.98018,0.94264,0.98069,0.83427,0.61232,0.36713,1.09371,1.02833e-05,1.02833e-05,1.02833e-05
62,1679.12,0.58622,0.36762,1.1094,0.97926,0.94353,0.98107,0.83421,0.61092,0.36561,1.09349,8.43113e-06,8.43113e-06,8.43113e-06
63,1705.77,0.58951,0.39252,1.11165,0.97872,0.94283,0.98246,0.83377,0.61399,0.36582,1.09275,6.76376e-06,6.76376e-06,6.76376e-06
64,1732.33,0.58394,0.36657,1.10774,0.97997,0.94065,0.98135,0.83651,0.60876,0.36334,1.09142,5.28456e-06,5.28456e-06,5.28456e-06
65,1758.86,0.58164,0.36506,1.10758,0.97831,0.94083,0.98142,0.83509,0.61277,0.36381,1.09214,3.99651e-06,3.99651e-06,3.99651e-06
66,1785.31,0.57743,0.364,1.10751,0.97901,0.94065,0.9817,0.83628,0.60811,0.36279,1.09091,2.90219e-06,2.90219e-06,2.90219e-06
67,1811.75,0.57638,0.36964,1.11092,0.97976,0.94006,0.98147,0.83769,0.60656,0.36256,1.09095,2.00383e-06,2.00383e-06,2.00383e-06
68,1838.49,0.57936,0.36302,1.10558,0.98015,0.93921,0.98059,0.83552,0.6098,0.36309,1.09144,1.30321e-06,1.30321e-06,1.30321e-06
69,1865.2,0.582,0.36734,1.11086,0.98049,0.94025,0.98164,0.83696,0.60675,0.36064,1.09107,8.01765e-07,8.01765e-07,8.01765e-07
70,1891.68,0.57552,0.37007,1.11054,0.97977,0.93957,0.98129,0.83668,0.60577,0.36135,1.09079,5.00492e-07,5.00492e-07,5.00492e-07
